epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,4050.83,1.11282,0.64908,0.92569,0.818,0.66337,0.74214,0.43169,1.36443,0.77196,0.99544,0.003466,0.003466,0.003466
134,4080.53,1.10671,0.64541,0.92714,0.82834,0.65356,0.74166,0.43235,1.36448,0.77071,0.99354,0.0034165,0.0034165,0.0034165
135,4110.05,1.10453,0.63409,0.92605,0.82669,0.65783,0.74027,0.43161,1.3637,0.77303,0.9922,0.003367,0.003367,0.003367
136,4139.75,1.08296,0.61844,0.92035,0.82241,0.66311,0.74091,0.4323,1.36472,0.77377,0.99171,0.0033175,0.0033175,0.0033175
137,4169.21,1.09271,0.63298,0.9261,0.82423,0.66769,0.74215,0.43179,1.36528,0.77269,0.9918,0.003268,0.003268,0.003268
138,4199.15,1.10129,0.63702,0.92401,0.82156,0.67333,0.74177,0.43233,1.36631,0.774,0.99093,0.0032185,0.0032185,0.0032185
139,4228.93,1.09769,0.62683,0.92174,0.82038,0.67105,0.74317,0.43104,1.36684,0.7719,0.99369,0.003169,0.003169,0.003169
140,4258.44,1.08703,0.6256,0.91983,0.81766,0.67415,0.74437,0.43135,1.36661,0.77306,0.99299,0.0031195,0.0031195,0.0031195
141,4288.03,1.09371,0.63374,0.92753,0.81666,0.67328,0.74406,0.43194,1.36482,0.76798,0.99176,0.00307,0.00307,0.00307
142,4319.99,1.09008,0.62679,0.92045,0.82273,0.67225,0.7455,0.43267,1.36441,0.76592,0.99205,0.0030205,0.0030205,0.0030205
143,4353.3,1.08051,0.62645,0.92034,0.82025,0.67365,0.74668,0.43413,1.36541,0.76467,0.99284,0.002971,0.002971,0.002971
144,4387.61,1.07596,0.61926,0.91357,0.82726,0.66882,0.74767,0.43464,1.36489,0.76322,0.99247,0.0029215,0.0029215,0.0029215
145,4421.72,1.09172,0.62837,0.91592,0.82368,0.67103,0.74614,0.43345,1.3656,0.76399,0.99145,0.002872,0.002872,0.002872
146,4459.58,1.07695,0.61206,0.91732,0.81502,0.67706,0.74558,0.43354,1.36466,0.76366,0.99134,0.0028225,0.0028225,0.0028225
147,4498.4,1.07546,0.6173,0.91811,0.81519,0.68087,0.74864,0.43453,1.36609,0.76429,0.99222,0.002773,0.002773,0.002773
148,4536.68,1.06576,0.60319,0.91391,0.82088,0.67515,0.7488,0.43464,1.36592,0.7635,0.99196,0.0027235,0.0027235,0.0027235
149,4574.27,1.0715,0.61887,0.9172,0.82142,0.67727,0.74966,0.43598,1.36619,0.76056,0.99338,0.002674,0.002674,0.002674
150,4612.15,1.07064,0.61454,0.91439,0.82364,0.67829,0.75267,0.43775,1.36448,0.75945,0.99249,0.0026245,0.0026245,0.0026245
151,4650.66,1.08241,0.61663,0.91349,0.82598,0.67736,0.75137,0.43711,1.36448,0.76031,0.99277,0.002575,0.002575,0.002575
